layer_name;HighFi;MediumFi;LowFi
Tire;;0,0;
Tire;;0,0;
Tire;;0,0;
Tire;;0,0;
Tire;;0,0;
Tire;;0,0;
Tire;;0,0;
Tire;;0,0;
Tire;;;0,0
Tire;;0,0;
Tire;0,0;;
Tire;0,0;;
Tire;0,0;;
Tire;0,0;;
Tire;0,0;;
Tire;0,0;;
Tire;;;0,0
Tire;;;0,0
Tire;;;0,0
Tire;0,0;;
Tire;0,0;;
TopLayer;;;0,0
TopLayer;;0,0;
TopLayer;;0,0;
TopLayer;;0,0;
TopLayer;0,0;;
TopLayer;;;0,0
TopLayer;;0,0;
TopLayer;;0,0;
TopLayer;2,057603099687185;;
TopLayer;0,0;;
TopLayer;0,0;;
TopLayer;;0,0;
TopLayer;;0,0;
TopLayer;0,0;;
TopLayer;0,0;;
TopLayer;4,4867268989401055;;
TopLayer;;;0,0
TopLayer;0,0;;
TopLayer;0,0;;
TopLayer;;0,0;
TopLayer;0,0;;
TopLayer;0,0;;
TopLayer;0,0;;
TopLayer;;;0,0
TopLayer;;;0,0
TopLayer;0,0;;
TopLayer;0,0;;
TopLayer;;236,81015449987171;
TopLayer;0,0;;
TopLayer;;0,0;
TopLayer;;;0,0
TopLayer;;;0,0
TopLayer;;0,0;
TopLayer;;0,0;
TopLayer;;0,0;
TopLayer;;;0,0
TopLayer;;;0,0
TopLayer;;;0,0
TopLayer;;;0,0
TopLayer;;;0,0
TopLayer;;;0,0
TopLayer;;0,0;
TopLayer;;0,0;
TopLayer;;;0,0
TopLayer;;;0,0
TransparentFX;;0,0;
TransparentFX;0,0;;
TransparentFX;;;0,0
TransparentFX;;0,0;
TransparentFX;;0,0;
TransparentFX;;;0,0
TransparentFX;0,0;;
TransparentFX;;0,0;
TransparentFX;0,0;;
TransparentFX;;;0,0
TransparentFX;0,0;;
TransparentFX;0,0;;
TransparentFX;;;0,0
TransparentFX;0,0;;
TransparentFX;;;0,0
TransparentFX;0,0;;
TransparentFX;0,0;;
TransparentFX;;;0,0
TransparentFX;;0,0;
TransparentFX;0,0;;
TransparentFX;;;0,0
TransparentFX;0,0;;
TransparentFX;0,0;;
TransparentFX;;;0,0
TransparentFX;;;0,0
TransparentFX;;0,0;
TransparentFX;0,0;;
TransparentFX;;;0,0
TransparentFX;;;0,0
TransparentFX;;0,0;
TransparentFX;;0,0;
TransparentFX;;0,0;
TransparentFX;;;0,0
TransparentFX;;0,0;
TransparentFX;;0,0;
TransparentFX;0,0;;
TransparentFX;;0,0;
TransparentFX;;;0,0
TransparentFX;;0,0;
TransparentFX;;;0,0
TransparentFX;;0,0;
TransparentFX;;0,0;
TransparentFX;0,0;;
TransparentFX;0,0;;
TransparentFX;;;0,0
UI;;0,0;
UI;0,0;;
UI;;;0,0
UI;0,0;;
UI;;;0,0
UI;0,0;;
UI;;;0,0
UI;;;0,0
UI;;0,0;
UI;0,0;;
UI;0,0;;
UI;0,0;;
UI;;0,0;
UI;;;0,0
UI;0,0;;
UI;;0,0;
UI;;0,0;
UI;0,0;;
UI;;;0,0
UI;;0,0;
UI;;;0,0
UI;0,0;;
UI;;;0,0
UI;;;0,0
UI;0,0;;
UI;;;0,0
UI;;0,0;
UI;;0,0;
UI;;;0,0
UI;0,0;;
UI;0,0;;
UI;;0,0;
UI;;0,0;
UI;;0,0;
UI;0,0;;
UI;0,0;;
UI;;;0,0
UI;;0,0;
UI;;0,0;
UI;;0,0;
UI;;;0,0
UI;;0,0;
UI;;;0,0
UI;;;0,0
UI;0,0;;
Water;0,0;;
Water;;;0,0
Water;0,0;;
Water;0,0;;
Water;0,0;;
Water;;;0,0
Water;0,0;;
Water;;;0,0
Water;0,0;;
Water;;;0,0
Water;;0,0;
Water;;;0,0
Water;;0,0;
Water;;0,0;
Water;;0,0;
Water;;;0,0
Water;;;0,0
Water;;0,0;
Water;;0,0;
Water;;0,0;
Water;;0,0;
Water;;0,0;
Water;;;0,0
Water;;0,0;
Water;;0,0;
Water;;0,0;
Water;;0,0;
Water;;0,0;
Water;;0,0;
Water;;;0,0
Water;0,0;;
Water;;;0,0
Water;0,0;;
Water;0,0;;
Water;;;0,0
Water;0,0;;
Water;0,0;;
Water;0,0;;
Water;;;0,0
Water;;;0,0
Water;0,0;;
Water;0,0;;
Water;;;0,0
Water;;;0,0
Water;0,0;;
